"date";"Temp";"Press";"Cond";"Salinity";"DO";"rawO2";"OxySat";"ph";"redox"
"2010-01-27 11:44:00";"2.4712041875";"2.6513564375";"0.03858075";"0.029215583333333";"4.200573875";"160.2924346875";"30.775470125";"6.5392133125";"-2133.08374"
"2010-01-27 14:14:00";"3.0359613913043";"3.5679646521739";"0.039838869565217";"0.030211956521739";"8.0991061521739";"318.34732515217";"60.314063347826";"9.5001944615385";"246.8301043913"
"2010-01-27 15:00:00";"3.0426879833333";"3.5414305833333";"0.039633033333333";"0.030032566666667";"7.9286959333333";"311.73996735";"59.053719366667";"9.25654515";"318.2484528"
"2010-01-27 16:00:00";"3.0361835517241";"3.545420637931";"0.039581586206897";"0.029996913793103";"7.7369245862069";"304.10392655172";"57.615397482759";"9.1550011551724";"327.95093558621"
"2010-01-27 17:00:00";"3.0351457222222";"3.5674914166667";"0.039453083333333";"0.029896416666667";"7.5711763611111";"297.57496569444";"56.379523694444";"8.6280145588235";"314.98010591667"
"2010-01-27 18:00:00";"3.02419765";"3.5497673166667";"0.036567816666667";"0.027629883333333";"7.4432151833333";"292.38372701667";"55.40959545";"6.6552752833333";"333.08433126667"
"2010-01-27 19:00:00";"3.0162609333333";"3.54726565";"0.036400133333333";"0.02749605";"7.3100426166667";"287.0408";"54.406544366667";"6.8191809";"338.25548095"
"2010-01-27 20:00:00";"3.0313564833333";"3.5525623333333";"0.03630915";"0.027423766666667";"7.2457525666667";"284.72435913333";"53.9498427";"6.8883158833333";"342.46627198333"
"2010-01-27 21:00:00";"3.0327069166667";"3.54816145";"0.036323366666667";"0.027430016666667";"7.2222057333333";"283.81974078333";"53.776464716667";"6.9248436666667";"342.41145683333"
"2010-01-27 22:00:00";"3.02051245";"3.5481418833333";"0.036320483333333";"0.02743195";"7.18711325";"282.27269278333";"53.497722766667";"6.9615138";"345.01844726667"
"2010-01-27 23:00:00";"3.0312972982456";"3.5415073508772";"0.036374385964912";"0.027470666666667";"7.1621102982456";"281.43850977193";"53.326993894737";"6.9946988245614";"345.23675647368"
"2010-01-28 01:20:00";"2.8281785555556";"3.537361";"0.036168777777778";"0.027377333333333";"7.1290396666667";"277.36907622222";"52.792788888889";"7.1102537777778";"348.31849833333"
"2010-01-28 02:26:00";"2.9056172424242";"3.53602";"0.036160303030303";"0.027348272727273";"7.1300843636364";"278.46635106061";"52.91029369697";"7.0973390606061";"351.16046512121"
"2010-01-28 03:00:00";"2.905690245614";"3.5273834912281";"0.036182842105263";"0.02736201754386";"7.1261305614035";"278.31141480702";"52.881080438596";"7.0583893333333";"352.73034184211"
"2010-01-28 04:00:00";"2.89756725";"3.5235765178571";"0.036129535714286";"0.027322678571429";"7.1065198035714";"277.43435175";"52.724014821429";"7.0893957142857";"353.31071089286"
"2010-01-28 05:00:00";"2.8225647017544";"3.5182734210526";"0.036036122807018";"0.027273824561404";"7.0985287719298";"276.10910359649";"52.558943122807";"7.0853989122807";"346.58870010526"
"2010-01-28 06:00:00";"2.7241969473684";"3.5122344736842";"0.036015157894737";"0.027285736842105";"7.0775789298246";"273.96502412281";"52.266024929825";"7.0977487192982";"305.81619045614"
"2010-01-28 07:00:00";"2.6778913333333";"3.5073806140351";"0.035967192982456";"0.02726801754386";"7.0712206666667";"273.09244464912";"52.153555684211";"7.0795534561404";"321.48869507018"
"2010-01-28 08:00:00";"2.639441";"3.505902";"0.036264";"0.027517";"7.070943";"272.564789";"52.097656";"6.964714";"324.858063"
"2010-01-28 09:27:00";"2.72217503125";"3.547883875";"0.0359063125";"0.02720459375";"7.0949660625";"274.6090821875";"52.39102446875";"7.20714665625";"335.1301250625"
"2010-01-28 10:00:00";"2.7367035";"3.5876278";"0.0360333";"0.0273005";"7.09894745";"274.9613526";"52.44093625";"7.225365";"337.91678785"
"2010-01-28 11:00:00";"2.7299631779661";"3.523238";"0.035990279661017";"0.027268838983051";"7.0921417033898";"274.60428812712";"52.381169584746";"7.2763170338983";"340.03610859322"
"2010-01-28 12:00:00";"2.7801803";"3.5125297166667";"0.036038933333333";"0.02729055";"7.1066851";"275.84731905";"52.55945545";"7.3051129";"342.91477966667"
"2010-01-28 13:00:00";"2.82506";"3.4986963333333";"0.0361044";"0.027327216666667";"7.11834935";"276.90899656667";"52.709177466667";"7.3081748333333";"342.31834556667"
"2010-01-28 14:00:00";"2.8524205333333";"3.4947901333333";"0.036218133333333";"0.027408033333333";"7.1131986333333";"277.08025255";"52.709742516667";"7.2528116666667";"338.42718715"
"2010-01-28 15:00:00";"2.85715595";"3.48788335";"0.03622955";"0.027413216666667";"7.1126004166667";"277.12264398333";"52.7123121";"7.2539064";"331.16579735"
"2010-01-28 16:00:00";"2.8592677";"3.48790775";"0.03623805";"0.027417";"7.1220336333333";"277.51751505";"52.784928466667";"7.222838";"334.81645868333"
"2010-01-28 17:00:00";"2.8665037";"3.4812164166667";"0.036255133333333";"0.0274258";"7.1173722333333";"277.43379055";"52.7605954";"7.1435030666667";"342.36081801667"
"2010-01-28 18:00:00";"2.8668120833333";"3.48253325";"0.0362693";"0.027443733333333";"7.1139170666667";"277.30343835";"52.735430383333";"7.1365869166667";"343.16308085"
"2010-01-28 19:00:00";"2.8679033333333";"3.4834876833333";"0.03625795";"0.027438883333333";"7.1173063833333";"277.45392608333";"52.762109233333";"7.1549487833333";"346.05340626667"
"2010-01-28 20:00:00";"2.8687139";"3.4798066666667";"0.036203916666667";"0.02739125";"7.1073340166667";"277.07240951667";"52.689293866667";"7.1248179333333";"345.79421278333"
